freq,psd_x,psd_y,psd_z,psd_xyz
167.3,3.372e+04,7.427e+03,2.177e+03,4.332e+04
168.8,3.227e+04,6.938e+03,1.860e+03,4.107e+04
170.3,3.168e+04,7.234e+03,1.909e+03,4.083e+04
171.8,3.048e+04,7.321e+03,1.966e+03,3.976e+04
173.3,2.829e+04,7.268e+03,1.926e+03,3.748e+04
174.7,2.720e+04,7.723e+03,1.982e+03,3.691e+04
176.2,2.631e+04,8.637e+03,2.198e+03,3.715e+04
177.7,2.577e+04,9.383e+03,2.332e+03,3.749e+04
179.2,2.447e+04,1.030e+04,2.499e+03,3.726e+04
180.7,2.351e+04,1.123e+04,2.648e+03,3.739e+04
182.2,2.323e+04,1.234e+04,2.806e+03,3.838e+04
183.7,2.266e+04,1.294e+04,2.904e+03,3.851e+04
185.2,2.281e+04,1.350e+04,2.926e+03,3.923e+04
186.7,2.259e+04,1.441e+04,3.030e+03,4.003e+04
188.2,2.076e+04,1.569e+04,3.142e+03,3.959e+04
189.7,1.969e+04,1.697e+04,3.232e+03,3.989e+04
191.2,1.891e+04,1.765e+04,3.175e+03,3.974e+04
192.7,1.853e+04,1.817e+04,3.097e+03,3.979e+04
194.2,1.867e+04,1.796e+04,2.870e+03,3.950e+04
195.7,1.912e+04,1.674e+04,2.608e+03,3.847e+04
197.2,1.946e+04,1.545e+04,2.280e+03,3.719e+04
198.6,2.045e+04,1.362e+04,1.995e+03,3.606e+04
